Tittle,PublishedDate,Authors,Fulltext.Url,Abstract,Keywords,Affiliations,CorrospondingAuthors,CorrospondingAuthors.Emails
Kohdista: an efficient method to index and query possible Rmap alignments,12-Dec-19,"Martin D. Muggli, Simon J. Puglisi and Christina Boucher",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0160-9,"BackgroundGenome-wide optical maps are ordered high-resolution restriction maps that give the position of occurrence of restriction cut sites corresponding to one or more restriction enzymes. These genome-wide optical maps are assembled using an overlap-layout-consensus approach using raw optical map data, which are referred to as Rmaps. Due to the high error-rate of Rmap data, finding the overlap between Rmaps remains challenging.ResultsWe present Kohdista, which is an index-based algorithm for finding pairwise alignments between single molecule maps (Rmaps). The novelty of our approach is the formulation of the alignment problem as automaton path matching, and the application of modern index-based data structures. In particular, we combine the use of the Generalized Compressed Suffix Array (GCSA) index with the wavelet tree in order to build Kohdista. We validate Kohdista on simulated E. coli data, showing the approach successfully finds alignments between Rmaps simulated from overlapping genomic regions.Conclusionwe demonstrate Kohdista is the only method that is capable of finding a significant number of high quality pairwise Rmap alignments for large eukaryote organisms in reasonable time.","Optical mapping, Index based data structures, FM-index, Graph algorithms","Department of Computer Science, Colorado State University, Fort Collins, CO, USAMartin D. MuggliDepartment of Computer Science, University of Helsinki, Helsinki, FinlandSimon J. PuglisiComputer & Information Science & Engineering, University of Florida, Gainesville, FL, USAChristina Boucher",Christina Boucher,NA
NANUQ: a method for inferring species networks from gene trees under the coalescent model,06-Dec-19,"Elizabeth S. Allman, Hector Baños and John A. Rhodes",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0159-2,"Species networks generalize the notion of species trees to allow for hybridization or other lateral gene transfer. Under the network multispecies coalescent model, individual gene trees arising from a network can have any topology, but arise with frequencies dependent on the network structure and numerical parameters. We propose a new algorithm for statistical inference of a level-1 species network under this model, from data consisting of gene tree topologies, and provide the theoretical justification for it. The algorithm is based on an analysis of quartets displayed on gene trees, combining several statistical hypothesis tests with combinatorial ideas such as a quartet-based intertaxon distance appropriate to networks, the NeighborNet algorithm for circular split systems, and the Circular Network algorithm for constructing a splits graph.","Hybridization, Network multispecies coalescent, Species network inference, Gene tree, Quartets, Level-1 network, NANUQ, Primary 92B10, 92D15","Department of of Mathematics and Statistics, University of Alaska Fairbanks, 1792 Ambler Lane, Fairbanks, AK, 99775, USAElizabeth S. Allman, Hector Baños & John A. Rhodes",John A. Rhodes,NA
TMRS: an algorithm for computing the time to the most recent substitution event from a multiple alignment column,18-Nov-19,"Hisanori Kiryu, Yuto Ichikawa and Yasuhiro Kojima",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0158-3,"Background As the number of sequenced genomes grows, researchers have access to an increasingly rich source for discovering detailed evolutionary information. However, the computational technologies for inferring biologically important evolutionary events are not sufficiently developed.Results We present algorithms to estimate the evolutionary time (\(t_{\text {MRS}}\)) to the most recent substitution event from a multiple alignment column by using a probabilistic model of sequence evolution. As the confidence in estimated \(t_{\text {MRS}}\) values varies depending on gap fractions and nucleotide patterns of alignment columns, we also compute the standard deviation \(\sigma\) of \(t_{\text {MRS}}\) by using a dynamic programming algorithm. We identified a number of human genomic sites at which the last substitutions occurred between two speciation events in the human lineage with confidence. A large fraction of such sites have substitutions that occurred between the concestor nodes of Hominoidea and Euarchontoglires. We investigated the correlation between tissue-specific transcribed enhancers and the distribution of the sites with specific substitution time intervals, and found that brain-specific transcribed enhancers are threefold enriched in the density of substitutions in the human lineage relative to expectations.Conclusions We have presented algorithms to estimate the evolutionary time (\(t_{\text {MRS}}\)) to the most recent substitution event from a multiple alignment column by using a probabilistic model of sequence evolution. Our algorithms will be useful for Evo-Devo studies, as they facilitate screening potential genomic sites that have played an important role in the acquisition of unique biological features by target species.","Phylogenetic trees, Comparative genomics, Probabilistic models","Department of Computational Biology and Medical Sciences, GSFS, University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa, Chiba, JapanHisanori Kiryu & Yasuhiro KojimaWorks Applications Co., Ltd., 1-12-32, Akasaka, Minato-ku, Tokyo, JapanYuto Ichikawa",Hisanori Kiryu,NA
Adjacency-constrained hierarchical clustering of a band similarity matrix with application to genomics,15-Nov-19,"Christophe Ambroise, Alia Dehman, Pierre Neuvial, Guillem Rigaill and Nathalie Vialaneix",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0157-4,"BackgroundGenomic data analyses such as Genome-Wide Association Studies (GWAS) or Hi-C studies are often faced with the problem of partitioning chromosomes into successive regions based on a similarity matrix of high-resolution, locus-level measurements. An intuitive way of doing this is to perform a modified Hierarchical Agglomerative Clustering (HAC), where only adjacent clusters (according to the ordering of positions within a chromosome) are allowed to be merged. But a major practical drawback of this method is its quadratic time and space complexity in the number of loci, which is typically of the order of \(10^4\) to \(10^5\) for each chromosome.ResultsBy assuming that the similarity between physically distant objects is negligible, we are able to propose an implementation of adjacency-constrained HAC with quasi-linear complexity. This is achieved by pre-calculating specific sums of similarities, and storing candidate fusions in a min-heap. Our illustrations on GWAS and Hi-C datasets demonstrate the relevance of this assumption, and show that this method highlights biologically meaningful signals. Thanks to its small time and memory footprint, the method can be run on a standard laptop in minutes or even seconds.Availability and implementationSoftware and sample data are available as an R package, adjclust, that can be downloaded from the Comprehensive R Archive Network (CRAN).","Hierarchical agglomerative clustering, Adjacency constraint, Segmentation, Ward’s linkage, Similarity, Min heap, Genome-Wide Association Studies and Hi-C","Laboratoire de Mathématiques et Modélisation d’Evry, UMR CNRS 8071, Université d’Evry Val d’Essonne, 23 boulevard de France, 91037, Evry, FranceChristophe Ambroise & Guillem RigaillHyphen-stat, 195 Route d’Espagne, 31036, Toulouse, FranceAlia DehmanInstitut de Mathématiques de Toulouse, UMR5219 CNRS, Université de Toulouse, UPS IMT, 31062, Toulouse Cedex 9, FrancePierre NeuvialInstitute of Plant Sciences Paris Saclay IPS2, CNRS, INRA, Gif sur Yvette, FranceGuillem RigaillMIAT, Université de Toulouse, INRA, Castanet-Tolosan, FranceNathalie Vialaneix",Pierre Neuvial,NA
Super short operations on both gene order and intergenic sizes,05-Nov-19,"Andre R. Oliveira, Géraldine Jean, Guillaume Fertin, Ulisses Dias and Zanoni Dias",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0156-5,"BackgroundThe evolutionary distance between two genomes can be estimated by computing a minimum length sequence of operations, called genome rearrangements, that transform one genome into another. Usually, a genome is modeled as an ordered sequence of genes, and most of the studies in the genome rearrangement literature consist in shaping biological scenarios into mathematical models. For instance, allowing different genome rearrangements operations at the same time, adding constraints to these rearrangements (e.g., each rearrangement can affect at most a given number of genes), considering that a rearrangement implies a cost depending on its length rather than a unit cost, etc. Most of the works, however, have overlooked some important features inside genomes, such as the presence of sequences of nucleotides between genes, called intergenic regions.Results and conclusionsIn this work, we investigate the problem of computing the distance between two genomes, taking into account both gene order and intergenic sizes. The genome rearrangement operations we consider here are constrained types of reversals and transpositions, called super short reversals (SSRs) and super short transpositions (SSTs), which affect up to two (consecutive) genes. We denote by super short operations (SSOs) any SSR or SST. We show 3-approximation algorithms when the orientation of the genes is not considered when we allow SSRs, SSTs, or SSOs, and 5-approximation algorithms when considering the orientation for either SSRs or SSOs. We also show that these algorithms improve their approximation factors when the input permutation has a higher number of inversions, where the approximation factor decreases from 3 to either 2 or 1.5, and from 5 to either 3 or 2.","Genome rearrangements, Intergenic regions, Super short operations, Approximation algorithms","Institute of Computing, University of Campinas, Campinas, BrazilAndre R. Oliveira & Zanoni DiasLS2N, UMR CNRS 6004, University of Nantes, Nantes, FranceGéraldine Jean & Guillaume FertinSchool of Technology, University of Campinas, Limeira, BrazilUlisses Dias",Andre R. Oliveira,NA
Bayesian localization of CNV candidates in WGS data within minutes,23-Sep-19,"John Wiedenhoeft, Alex Cagan, Rimma Kozhemyakina, Rimma Gulevich and Alexander Schliep",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0154-7,"BackgroundFull Bayesian inference for detecting copy number variants (CNV) from whole-genome sequencing (WGS) data is still largely infeasible due to computational demands. A recently introduced approach to perform Forward–Backward Gibbs sampling using dynamic Haar wavelet compression has alleviated issues of convergence and, to some extent, speed. Yet, the problem remains challenging in practice.ResultsIn this paper, we propose an improved algorithmic framework for this approach. We provide new space-efficient data structures to query sufficient statistics in logarithmic time, based on a linear-time, in-place transform of the data, which also improves on the compression ratio. We also propose a new approach to efficiently store and update marginal state counts obtained from the Gibbs sampler.ConclusionsUsing this approach, we discover several CNV candidates in two rat populations divergently selected for tame and aggressive behavior, consistent with earlier results concerning the domestication syndrome as well as experimental observations. Computationally, we observe a 29.5-fold decrease in memory, an average 5.8-fold speedup, as well as a 191-fold decrease in minor page faults. We also observe that metrics varied greatly in the old implementation, but not the new one. We conjecture that this is due to the better compression scheme. The fully Bayesian segmentation of the entire WGS data set required 3.5 min and 1.24 GB of memory, and can hence be performed on a commodity laptop.","HMM, Wavelet, CNV, Bayesian inference","Department of Computer Science and Engineering, University of Gothenburg | Chalmers, Rännvägen 6, 412 58, Gothenburg, SwedenJohn Wiedenhoeft & Alexander SchliepDepartment of Computer Science, Rutgers University, Piscataway, NJ, 08854, USAJohn Wiedenhoeft & Alexander SchliepMax Planck Institute for Evolutionary Anthropology, 04103, Leipzig, GermanyAlex CaganWellcome Trust Sanger Institute, Hinxton, CB10 1SA, UKAlex CaganInstitute of Cytology and Genetics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, 630090, RussiaRimma Kozhemyakina & Rimma Gulevich",John Wiedenhoeft,NA
Implications of non-uniqueness in phylogenetic deconvolution of bulk DNA samples of tumors,03-Sep-19,"Yuanyuan Qi, Dikshant Pradhan and Mohammed El-Kebir",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0155-6,"BackgroundTumors exhibit extensive intra-tumor heterogeneity, the presence of groups of cellular populations with distinct sets of somatic mutations. This heterogeneity is the result of an evolutionary process, described by a phylogenetic tree. In addition to enabling clinicians to devise patient-specific treatment plans, phylogenetic trees of tumors enable researchers to decipher the mechanisms of tumorigenesis and metastasis. However, the problem of reconstructing a phylogenetic tree T given bulk sequencing data from a tumor is more complicated than the classic phylogeny inference problem. Rather than observing the leaves of T directly, we are given mutation frequencies that are the result of mixtures of the leaves of T. The majority of current tumor phylogeny inference methods employ the perfect phylogeny evolutionary model. The underlying Perfect Phylogeny Mixture (PPM) combinatorial problem typically has multiple solutions.ResultsWe prove that determining the exact number of solutions to the PPM problem is #P-complete and hard to approximate within a constant factor. Moreover, we show that sampling solutions uniformly at random is hard as well. On the positive side, we provide a polynomial-time computable upper bound on the number of solutions and introduce a simple rejection-sampling based scheme that works well for small instances. Using simulated and real data, we identify factors that contribute to and counteract non-uniqueness of solutions. In addition, we study the sampling performance of current methods, identifying significant biases.ConclusionsAwareness of non-uniqueness of solutions to the PPM problem is key to drawing accurate conclusions in downstream analyses based on tumor phylogenies. This work provides the theoretical foundations for non-uniqueness of solutions in tumor phylogeny inference from bulk DNA samples.","Phylogenetics, Intra-tumor heterogeneity, Inter-tumor heterogeneity, Somatic mutations, Single-nucleotide variant, Copy-number aberration, Structural variant, Metastasis, Evolution","Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL, 61801, USAYuanyuan Qi & Mohammed El-KebirDepartment of Bioengineering, University of Illinois at Urbana-Champaign, Urbana, IL, 61801, USADikshant Pradhan",Mohammed El-Kebir,NA
"A branching process for homology distribution-based inference of polyploidy, speciation and loss",01-Aug-19,"Yue Zhang, Chunfang Zheng and David Sankoff",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0153-8,"BackgroundThe statistical distribution of the similarity or difference between pairs of paralogous genes, created by whole genome doubling, or between pairs of orthologous genes in two related species is an important source of information about genomic evolution, especially in plants.MethodsWe derive the mixture of distributions of sequence similarity for duplicate gene pairs generated by repeated episodes of whole gene doubling. This involves integrating sequence divergence and gene pair loss through fractionation, using a branching process and a mutational model. We account not only for the timing of these events in terms of local modes, but also the amplitude and variance of the component distributions. This model is then extended to orthologous gene pairs.ResultsWe apply the model and inference procedures to the evolution of the Solanaceae, focusing on the genomes of economically important crops. We assess how consistent or variable fractionation rates are from species to species and over time.","Branching process, Whole genome doubling, Fractionation, Solanaceae","Department of Mathematics and Statistics, University of Ottawa, 150 Louis Pasteur Pvt, Ottawa, K1N 6N5, CanadaYue Zhang, Chunfang Zheng & David Sankoff",David Sankoff,NA
A multi-labeled tree dissimilarity measure for comparing “clonal trees” of tumor progression,27-Jul-19,"Nikolai Karpov, Salem Malikic, Md. Khaledur Rahman and S. Cenk Sahinalp",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0152-9,"We introduce a new dissimilarity measure between a pair of “clonal trees”, each representing the progression and mutational heterogeneity of a tumor sample, constructed by the use of single cell or bulk high throughput sequencing data. In a clonal tree, each vertex represents a specific tumor clone, and is labeled with one or more mutations in a way that each mutation is assigned to the oldest clone that harbors it. Given two clonal trees, our multi-labeled tree dissimilarity (MLTD) measure is defined as the minimum number of mutation/label deletions, (empty) leaf deletions, and vertex (clonal) expansions, applied in any order, to convert each of the two trees to the maximum common tree. We show that the MLTD measure can be computed efficiently in polynomial time and it captures the similarity between trees of different clonal granularity well.","Intra-tumor heterogeneity, Tumor evolution, Multi-labeled tree, Tree edit distance, Dynamic programming","Department of Computer Science, Indiana University, Bloomington, IN, USANikolai Karpov, Md. Khaledur Rahman & S. Cenk SahinalpSchool of Computing Science, Simon Fraser University, Burnaby, BC, CanadaSalem Malikic",S. Cenk Sahinalp,NA
A cubic algorithm for the generalized rank median of three genomes,26-Jul-19,"Leonid Chindelevitch, Sean La and Joao Meidanis",https://almob.biomedcentral.com/articles/10.1186/s13015-019-0150-y,"BackgroundThe area of genome rearrangements has given rise to a number of interesting biological, mathematical and algorithmic problems. Among these, one of the most intractable ones has been that of finding the median of three genomes, a special case of the ancestral reconstruction problem. In this work we re-examine our recently proposed way of measuring genome rearrangement distance, namely, the rank distance between the matrix representations of the corresponding genomes, and show that the median of three genomes can be computed exactly in polynomial time \(O(n^\omega )\), where \(\omega \le 3\), with respect to this distance, when the median is allowed to be an arbitrary orthogonal matrix.ResultsWe define the five fundamental subspaces depending on three input genomes, and use their properties to show that a particular action on each of these subspaces produces a median. In the process we introduce the notion of M-stable subspaces. We also show that the median found by our algorithm is always orthogonal, symmetric, and conserves any adjacencies or telomeres present in at least 2 out of 3 input genomes.ConclusionsWe test our method on both simulated and real data. We find that the majority of the realistic inputs result in genomic outputs, and for those that do not, our two heuristics perform well in terms of reconstructing a genomic matrix attaining a score close to the lower bound, while running in a reasonable amount of time. We conclude that the rank distance is not only theoretically intriguing, but also practically useful for median-finding, and potentially ancestral genome reconstruction.","Comparative genomics, Ancestral genome reconstruction, Phylogenetics, Rank distance","School of Computing Science, Simon Fraser University, Burnaby, CanadaLeonid Chindelevitch & Sean LaInstitute of Computing, University of Campinas, Campinas, BrazilJoao Meidanis",Leonid Chindelevitch,NA
